W#,sex,Age in months at cast,Age in months at death,SFBR ID,Left or Right M2?,B-M_Cast,B-D_Cast,L-M_Cast,L-D_Cast,B-M_Ost,B-D_Ost,L-M_Ost,L-D_Ost
255,female,233,286,1X3928,Left,7,7,4,4,7,7,5,5
256,female,206,220,6746,Left,6,5,5,4,7,6,6,5
260,female,138,150,10510,Left,6,4,5,1,6,5,5,3
264,female,216,239,1X4631,Left,5,5,2,2,6,5,4,3
265,female,159,181,8975,Left,5,4,4,4,6,5,4,4
267,female,256,314,1X2000,Left,6,5,4,3,7,6,7,6
269,male,165,181,8679,Right,6,5,5,5,6,6,5,5
276,female,218,272,1X3956,Left,5,5,2,3,6,5,4,3
278,female,197,252,1X4329,Left,5,4,4,2,6,5,6,3
279,male,238,260,1X4284,Left,5,5,5,5,7,7,9,9
282,female,206,214,6690,Left,6,5,5,2,6,5,5,2
284,female,244,262,1X4161,Left,5,5,4,4,6,6,5,5
286,female,245,291,1X3445,Left,7,6,6,4,7,7,7,5
288,female,152,175,9193,Left,5,2,2,1,6,5,2,2
289,female,205,260,1X4236,Left,6,5,2,1,6,5,4,2
290,female,236,263,1X4278,Left,6,6,5,4,7,7,6,5
296,female,269,288,1X3582,Left,7,6,7,5,7,7,7,6
297,female,141,200,7621,Left,6,5,5,5,6,6,6,5
298,female,226,279,1X4031,Left,6,6,3,4,7,7,4,5
304,female,261,311,1X2572,Left,6,5,5,3,6,6,5,4
306,female,260,312,1X2589,Left,7,4,7,5,7,6,9,6
310,female,234,290,1X3439,Left,7,7,5,5,7,7,6,6
311,female,125,181,8597,Left,5,4,3,2,6,5,5,2
312,female,176,196,7866,Left,5,5,2,2,6,6,5,5
316,male,246,293,1x3420,Left,7,7,5,5,8,9,8,9
317,female,258,277,1X3883,Left,7,7,3,4,7,7,4,4
322,female,257,293,1X3886,Left,7,6,7,5,7,7,7,6
331,female,276,304,1X3696,Right,7,7,2,4,7,7,4,5
332,female,108,166,9716,Right,5,4,4,2,5,5,5,2
333,male,236,291,1X3864,Left,5,4,5,5,6,6,6,6
339,male,257,268,1X4022,Left,6,5,5,5,6,6,6,5
343,female,245,271,1X4265,Left,6,5,4,2,6,6,5,3
357,female,231,290,1x3929,Right,4,3,2,1,5,4,2,1
358,female,253,287,1X3947,Left,6,6,5,5,6,6,5,5
361,female,270,312,1X2068,Left,5,5,5,5,6,5,6,5
365,male,243,278,1X4277,Right,6,5,5,4,6,6,6,5
370,female,244,300,1X3641,Left,6,5,2,4,6,6,6,5
378,female,255,284,1X4056,Left,5,5,2,4,6,6,5,4
382,female,117,172,9094,Right,5,4,4,2,6,5,5,2
383,female,139,196,7823,Left,6,5,4,1,6,6,5,3
384,female,258,267,1X4112,Left,7,6,7,5,7,6,7,5
386,female,241,251,1x4241,Left,7,6,9,5,7,6,9,5
387,female,262,295,1X3731,Right,7,7,6,5,7,7,6,5
393,female,255,289,1X3942,Left,6,6,5,4,6,6,5,5
394,female,122,175,8919,Right,5,4,3,3,5,5,5,4
398,female,179,221,7561,Left,6,5,5,3,6,5,5,3
401,female,164,172,8596,Left,7,7,7,6,7,7,7,6
402,female,185,220,1x4746,Left,6,6,2,2,7,7,4,5
403,female,236,288,1X3861,Left,6,5,5,6,7,6,7,6
404,male,180,237,1X4859,Right,6,6,5,6,7,7,9,9
405,male,206,210,6301,Right,6,6,5,4,6,6,5,5
412,female,258,309,1X1927,Left,7,6,5,2,7,7,5,5
419,female,200,249,1X4276,Left,4,3,2,1,5,5,2,3
420,female,290,326,1X2124,Right,6,6,6,5,7,6,9,6
421,male,258,264,1X4013,Left,7,7,5,7,7,8,6,7
422,male,137,193,7944,Left,5,5,4,2,6,6,5,4
427,female,305,357,1X2684,Left,5,5,2,2,6,5,3,4
428,female,254,306,1X2117,Left,7,7,5,4,8,8,9,7
432,male,140,183,9892,Right,6,5,4,5,6,6,5,6
433,female,262,282,1X3810,Left,7,6,3,2,7,6,3,2
434,female,238,284,1X3104,Left,7,5,3,2,8,6,4,3
435,female,202,243,6521,Left,6,6,4,5,6,6,5,5
437,female,305,326,1X1441,Right,7,6,5,5,7,7,5,5
438,female,255,265,1X3914,Right,7,7,7,7,8,8,7,7
439,female,218,252,1X4239,Left,6,5,3,2,6,6,4,3
443,female,160,180,8820,Right,6,5,3,2,7,6,5,3
445,male,159,194,7307,Left,6,5,6,5,6,6,6,5
448,female,251,283,1X3208,Left,6,5,3,2,7,6,5,5
452,female,92,137,10418,Left,6,5,4,2,7,5,5,3
453,male,156,207,6821,Left,7,5,7,4,9,6,9,9
454,male,98,147,10240,Right,5,5,4,3,7,6,4,5
455,female,138,151,10009,Left,5,5,2,3,6,5,4,5
456,female,111,156,9581,Left,5,4,2,3,7,5,4,3
457,female,168,214,1X4867,Left,5,5,2,1,7,6,6,5
459,male,216,226,1X4637,Left,7,8,6,8,7,8,9,8
460,female,243,278,1X3666,Left,6,6,5,5,7,8,6,8
466,male,187,195,7380,Left,7,7,6,5,7,7,9,5
467,female,302,311,1X1577,Right,6,6,5,5,7,6,5,5
469,male,167,213,8292,Right,6,6,5,5,7,6,5,5
471,male,173,208,8644,Left,6,5,2,1,7,6,9,4
476,male,237,271,1X3757,Left,5,5,6,6,6,6,6,7
477,female,242,251,1X4314,Left,6,6,1,5,7,7,4,5
480,female,246,297,1X2574,Left,7,6,6,6,8,7,7,7
482,female,221,255,1X4195,Right,6,5,2,1,7,7,4,3
489,female,197,243,6732,Left,5,5,2,1,5,5,3,2
490,male,138,190,9976,Right,7,5,5,5,7,5,5,5
510,male,193,239,7472,Left,8,7,8,9,8,8,9,9
514,female,256,301,1X4039,Left,6,6,5,5,7,6,7,5
515,female,248,302,1X4082,Left,5,5,2,1,6,5,4,2
516,female,250,306,1X4069,Left,6,5,5,5,7,6,6,5
518,male,253,296,1X4096,Left,6,6,6,5,7,6,6,5
525,female,293,301,6776,Left,6,6,5,5,7,6,5,5
526,female,213,219,1X4714,Left,5,5,4,2,6,5,5,3
529,female,291,299,1X2100,Left,6,6,5,2,6,6,5,3
530,female,183,229,8034,Left,7,7,3,5,8,8,8,7
537,female,208,263,1X4792,Right,6,5,4,1,6,6,5,3
554,female,204,252,6355,Left,6,6,4,3,6,6,5,5
564,female,162,218,9305,Left,5,5,2,1,6,5,4,3
577,female,219,220,1X4178,Right,5,4,5,4,5,5,5,4
580,male,112,125,9356,Right,5,4,2,5,6,5,4,5
603,female,166,217,9092,Left,5,4,2,1,5,4,4,2
617,female,159,207,9494,Left,5,5,2,1,7,5,3,2
619,female,271,330,1X3428,Left,7,7,5,4,7,7,6,5
621,male,161,215,9097,Left,6,6,4,4,7,6,5,5
