W#,sex,Years b/w last mold and death,SFBR ID,Left or Right M2?,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,
312,female,1.71,7866,Left,6.996,102.087,0.06852978342,6.852978342,3.41,102.04,0.03341826735,3.341826735,9.047,103.77,0.0871831936,8.71831936,3.128,99.799,0.03134299943,3.134299943,
316,male,3.89,1x3420,Left,56.527,133.51,0.4233915063,42.33915063,32.155,130.296,0.2467842451,24.67842451,60.157,133.455,0.4507661759,45.07661759,36.355,128.247,0.2834764166,28.34764166,
317,female,1.65,1X3883,Left,29.138,126.959,0.2295071637,22.95071637,30.284,124.159,0.243913047,24.3913047,30.972,119.597,0.2589697066,25.89697066,33.62,118.09,0.2846981116,28.46981116,
322,female,2.96,1X3886,Left,33.428,127.292,0.262608805,26.2608805,23.007,122.767,0.1874037811,18.74037811,34.069,126.585,0.2691393135,26.91393135,22.673,119.272,0.1900949091,19.00949091,
327,male,4.53,7842,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
331,female,2.28,1X3696,Right,17.111,118.606,0.144267575,14.4267575,14.472,110.612,0.130835714,13.0835714,19.387,116.926,0.1658057233,16.58057233,15.213,106.03,0.1434782609,14.34782609,
332,female,4.81,9716,Right,2.197,102.514,0.02143121915,2.143121915,1.232,96.665,0.01274504733,1.274504733,2.52,103.173,0.02442499491,2.442499491,1.358,97.884,0.01387356463,1.387356463,
333,male,4.62,1X3864,Left,9.624,156.07,0.06166463766,6.166463766,5.835,135.691,0.0430021151,4.30021151,11.288,132.676,0.08507944165,8.507944165,6.413,133.054,0.04819847581,4.819847581,
339,male,0.91,1X4022,Left,13.863,119.853,0.1156666917,11.56666917,12.432,116.711,0.1065195226,10.65195226,16.817,117.394,0.1432526364,14.32526364,11.804,113.675,0.1038398944,10.38398944,
343,female,2.21,1X4265,Left,10.87,105.761,0.1027789072,10.27789072,5.733,95.205,0.06021742556,6.021742556,12.202,100.981,0.1208346125,12.08346125,6.416,94.457,0.06792508761,6.792508761,
345,male,3.33,6968,Right,11.754,104.18,0.1128239585,11.28239585,18.209,127.211,0.1431401373,14.31401373,10.668,95.989,0.1111377345,11.11377345,20.405,129.478,0.1575943404,15.75943404,
357,female,4.96,1x3929,Right,0.539,94.365,0.005711863509,0.5711863509,0.575,89.515,0.006423504441,0.6423504441,0.297,92.338,0.003216443934,0.3216443934,0.731,87.106,0.008392074025,0.8392074025,
358,female,2.84,1X3947,Left,19.573,111.901,0.1749135396,17.49135396,16.182,107.967,0.1498791297,14.98791297,20.239,108.644,0.1862873237,18.62873237,16.623,103.823,0.1601090317,16.01090317,
361,female,3.58,1X2068,Left,6.588,87.724,0.07509917468,7.509917468,4.81,77.873,0.0617672364,6.17672364,8.065,87.222,0.09246520373,9.246520373,5.546,77.707,0.07137066159,7.137066159,
362,male,2.79,7455,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
365,male,2.95,1X4277,Right,7.628,108.157,0.07052710412,7.052710412,6.1,96.235,0.06338650179,6.338650179,8.629,109.703,0.07865783069,7.865783069,6.276,98.306,0.06384147458,6.384147458,
370,female,4.7,1X3641,Left,9.769,86.664,0.1127226992,11.27226992,4.743,79.222,0.05986973315,5.986973315,11.64,90.484,0.1286415278,12.86415278,4.584,79.928,0.05735161645,5.735161645,
378,female,2.42,1X4056,Left,4.296,95.893,0.04479993326,4.479993326,3.948,94.388,0.04182735093,4.182735093,5.358,94.454,0.05672602537,5.672602537,3.39,92.753,0.03654868306,3.654868306,
382,female,4.56,9094,Right,2.684,115.489,0.0232403086,2.32403086,1.105,109.744,0.01006888759,1.006888759,1.981,112.859,0.01755287571,1.755287571,1.03,105.169,0.009793760519,0.9793760519,
383,female,4.78,7823,Left,6.889,101.554,0.06783583118,6.783583118,5.717,94.839,0.06028110798,6.028110798,6.701,101.573,0.06597225641,6.597225641,5.72,94.062,0.06081095448,6.081095448,
384,female,0.76,1X4112,Left,25.39,96.855,0.2621444427,26.21444427,24.162,92.538,0.2611035467,26.11035467,27.272,94.999,0.2870767061,28.70767061,27.522,91.218,0.3017167664,30.17167664,
386,female,0.78,1x4241,Left,27.239,97.396,0.2796726765,27.96726765,27.47,95.434,0.2878429071,28.78429071,29.054,97.083,0.2992696971,29.92696971,26.779,94.555,0.2832108297,28.32108297,
387,female,2.78,1X3731,Right,29.733,109.443,0.2716756668,27.16756668,27.25,108.819,0.2504158281,25.04158281,29.559,94.687,0.3121759059,31.21759059,26.31,96.459,0.272758374,27.2758374,
393,female,2.88,1X3942,Left,12.873,102.61,0.1254556086,12.54556086,10.512,99.179,0.1059901794,10.59901794,13.643,99.471,0.1371555529,13.71555529,9.798,95.819,0.1022552938,10.22552938,
394,female,4.47,8919,Right,3.885,102.188,0.0380181626,3.80181626,1.071,97.164,0.01102260096,1.102260096,3.667,100.748,0.03639774487,3.639774487,0.822,95.325,0.008623131393,0.8623131393,
398,female,3.44,7561,Left,6.241,88.099,0.07084075869,7.084075869,5.7,88.354,0.06451320823,6.451320823,14.366,92.917,0.1546111045,15.46111045,5.18,85.549,0.0605500941,6.05500941,
401,female,0.71,8596,Left,20.455,102.886,0.1988122777,19.88122777,16.271,105.892,0.1536565557,15.36565557,22.144,101.581,0.2179935224,21.79935224,23.506,104.126,0.2257457311,22.57457311,
402,female,2.88,1x4746,Left,17.295,131.426,0.131594966,13.1594966,12.631,112.358,0.1124174514,11.24174514,18.571,120.424,0.1542134458,15.42134458,7.73,109.655,0.07049382153,7.049382153,
403,female,4.3,1X3861,Left,17.447,94.377,0.1848649565,18.48649565,17.23,95.088,0.1812005721,18.12005721,17.778,93.432,0.190277421,19.0277421,13.822,93.072,0.1485086815,14.85086815,
404,male,4.75,1X4859,Right,38.717,124.648,0.3106106797,31.06106797,20.58,132.24,0.1556261343,15.56261343,39.779,121.507,0.3273803155,32.73803155,21.103,127.978,0.1648955289,16.48955289,
405,male,0.34,6301,Right,12.174,124.872,0.09749183164,9.749183164,13.346,124.905,0.1068492054,10.68492054,13.352,121.33,0.1100469793,11.00469793,13.961,118.195,0.1181183637,11.81183637,
406,male,2.94,1X4808,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
412,female,4.23,1X1927,Left,14.028,112.003,0.1252466452,12.52466452,8.408,105.365,0.07979879467,7.979879467,18.279,108.634,0.1682622383,16.82622383,6.967,102.94,0.06768020206,6.768020206,
419,female,4.05,1X4276,Left,1.556,93.233,0.01668936964,1.668936964,0.501,93.864,0.005337509588,0.5337509588,1.0607,91.219,0.01162805994,1.162805994,1.642,87.758,0.01871054491,1.871054491,
420,female,3,1X2124,Right,18.581,80.111,0.2319406823,23.19406823,14.063,84.105,0.1672076571,16.72076571,22.26,78.799,0.2824908946,28.24908946,11.178,81.531,0.1371012253,13.71012253,
421,male,0.5,1X4013,Left,35.751,151.445,0.2360658985,23.60658985,25.161,134.004,0.1877630518,18.77630518,35.853,146.137,0.2453382785,24.53382785,22.742,134.551,0.169021412,16.9021412,
422,male,4.72,7944,Left,11.618,102.829,0.1129836914,11.29836914,4.115,99.885,0.04119737698,4.119737698,11.916,100.474,0.1185978462,11.85978462,4.305,94.282,0.04566088967,4.566088967,
424,female,3.07,1X4687,Left,3.311,118.916,0.02784318342,2.784318342,16.175,91.489,0.1767972106,17.67972106,3.396,112.542,0.03017540118,3.017540118,16.565,86.834,0.1907662897,19.07662897,
427,female,4.38,1X2684,Left,3.314,94.404,0.03510444473,3.510444473,3.644,94.368,0.03861478467,3.861478467,3.758,92.769,0.04050922183,4.050922183,2.613,90.686,0.02881370884,2.881370884,
428,female,4.33,1X2117,Left,35.027,88.448,0.3960179993,39.60179993,16.938,84.712,0.1999480593,19.99480593,35.311,83.767,0.4215383146,42.15383146,14.643,81.319,0.1800686187,18.00686187,
432,male,3.59,9892,Right,15.842,130.882,0.1210403264,12.10403264,8.055,115.599,0.06968053357,6.968053357,15.495,122.3,0.1266966476,12.66966476,6.903,106.799,0.06463543666,6.463543666,
433,female,1.61,1X3810,Left,7.512,112.732,0.06663591527,6.663591527,5.907,107.401,0.0549994879,5.49994879,7.651,105.705,0.07238068209,7.238068209,3.612,100.913,0.03579320801,3.579320801,
434,female,3.89,1X3104,Left,18.837,110.916,0.1698312236,16.98312236,8.661,101.273,0.08552131368,8.552131368,17.716,108.239,0.1636748307,16.36748307,8.302,99.227,0.08366674393,8.366674393,
435,female,3.41,6521,Left,17.328,105.02,0.1649971434,16.49971434,13.336,98.439,0.135474761,13.5474761,17.446,99.762,0.1748762054,17.48762054,13.007,95.952,0.135557362,13.5557362,
437,female,1.71,1X1441,Right,19.27,110.494,0.1743986099,17.43986099,17.139,107.212,0.1598608365,15.98608365,18.517,105.945,0.1747793667,17.47793667,15.212,100.713,0.151043063,15.1043063,
438,female,0.84,1X3914,Right,29.829,113.939,0.2617979796,26.17979796,25.404,106.664,0.2381684542,23.81684542,35.426,104.772,0.3381246898,33.81246898,24.775,98.674,0.2510793117,25.10793117,
439,female,2.81,1X4239,Left,6.195,94.29,0.06570155902,6.570155902,5.749,90.509,0.06351854512,6.351854512,6.832,89.438,0.07638811244,7.638811244,6.002,84.216,0.07126911751,7.126911751,
440,male,1.26,8001,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
443,female,1.64,8820,Right,6.344,106.458,0.05959157602,5.959157602,6.533,97.676,0.0668843933,6.68843933,5.895,95.148,0.06195611048,6.195611048,5.521,89.892,0.06141814622,6.141814622,
445,male,2.86,7307,Left,13.809,126.575,0.1090973731,10.90973731,9.815,114.926,0.08540278092,8.540278092,13.746,114.296,0.120266676,12.0266676,9.353,109.485,0.08542722747,8.542722747,
448,female,2.68,1X3208,Left,14.692,116.147,0.1264948729,12.64948729,10.49,109.702,0.09562268692,9.562268692,14.899,110.792,0.1344772186,13.44772186,11.573,104.393,0.1108599236,11.08599236,
450,male,4.38,8318,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
452,female,3.74,10418,Left,5.619,90.38,0.06217083426,6.217083426,3.849,86.994,0.04424443065,4.424443065,5.835,85.89,0.06793573175,6.793573175,5.489,81.635,0.0672383169,6.72383169,
453,male,4.22,6821,Left,38.496,123.093,0.3127391484,31.27391484,23.368,116.837,0.2000051354,20.00051354,38.953,113.228,0.3440226799,34.40226799,16.694,108.52,0.1538333948,15.38333948,
454,male,4.06,10240,Right,9.111,119.632,0.0761585529,7.61585529,1.527,101.563,0.0150350029,1.50350029,9.027,106.482,0.08477489153,8.477489153,1.431,92.069,0.01554269081,1.554269081,
455,female,1.05,10009,Left,1.786,84.627,0.02110437567,2.110437567,1.623,85.918,0.01889010452,1.889010452,1.863,81.763,0.02278536746,2.278536746,1.537,81.867,0.01877435352,1.877435352,
456,female,3.83,9581,Left,8.249,110.415,0.07470905221,7.470905221,2.462,109.209,0.02254392953,2.254392953,11.391,108.322,0.1051586935,10.51586935,2.209,100.971,0.02187756881,2.187756881,
457,female,3.84,1X4867,Left,7.554,96.287,0.07845295834,7.845295834,3.745,92.497,0.0404877996,4.04877996,8.864,93.645,0.09465534732,9.465534732,3.104,90.729,0.03421177352,3.421177352,
459,male,0.82,1X4637,Left,42.172,117.895,0.3577081301,35.77081301,35.771,117.635,0.3040846687,30.40846687,45.434,111.628,0.4070125775,40.70125775,31.002,109.856,0.2822057967,28.22057967,
460,female,2.93,1X3666,Left,25.031,100.613,0.2487849483,24.87849483,12.566,91.019,0.1380590866,13.80590866,24.808,96.363,0.2574432095,25.74432095,11.693,86.87,0.1346034304,13.46034304,
465,male,2.88,1X4760,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
466,male,0.66,7380,Left,27.482,129.901,0.2115611119,21.15611119,30.11,135.73,0.2218374715,22.18374715,20.598,123.102,0.1673246576,16.73246576,22.094,127.597,0.1731545413,17.31545413,
467,female,0.74,1X1577,Right,21.688,123.133,0.1761347486,17.61347486,15.672,120.044,0.1305521309,13.05521309,21.896,118.77,0.1843563189,18.43563189,13.502,113.238,0.1192355923,11.92355923,
469,male,3.84,8292,Right,20.455,127.351,0.1606190764,16.06190764,13.898,117.704,0.1180758513,11.80758513,21.444,116.703,0.1837484898,18.37484898,13.941,114.937,0.1212925342,12.12925342,
471,male,2.96,8644,Left,17.488,109.485,0.1597296433,15.97296433,6.326,105.516,0.05995299291,5.995299291,16.554,104.159,0.1589300973,15.89300973,5.878,99.289,0.05920091853,5.920091853,
476,male,2.78,1X3757,Left,14.085,114.643,0.12285966,12.285966,8.463,110.597,0.07652106296,7.652106296,16.46,112.314,0.1465534128,14.65534128,8.316,108.793,0.07643874146,7.643874146,
477,female,0.78,1X4314,Left,11.924,115.218,0.103490774,10.3490774,12.355,112.958,0.1093769366,10.93769366,12.705,111.867,0.1135723672,11.35723672,11.368,108.39,0.104880524,10.4880524,
479,male,3.35,8221,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
480,female,4.24,1X2574,Left,22.567,100.476,0.2246008997,22.46008997,27.202,96.938,0.2806123502,28.06123502,20.981,97.414,0.2153797195,21.53797195,24.787,92.702,0.2673836595,26.73836595,
482,female,2.82,1X4195,Right,14.284,122.074,0.1170109933,11.70109933,9.585,113.088,0.0847570034,8.47570034,14.758,119.209,0.1237993776,12.37993776,8.931,110.209,0.08103693891,8.103693891,
489,female,3.84,6732,Left,1.507,87.379,0.01724670687,1.724670687,1.345,84.877,0.01584646017,1.584646017,1.254,86.384,0.01451657714,1.451657714,1.053,80,0.0131625,1.31625,
490,male,4.31,9976,Right,10.652,116.907,0.09111515991,9.111515991,7.12,114.623,0.06211667815,6.211667815,9.897,109.433,0.09043889869,9.043889869,8.259,104.537,0.07900551958,7.900551958,
510,male,3.84,7472,Left,62.429,108.889,0.573326966,57.3326966,47.694,104.96,0.4544016768,45.44016768,62.057,103.369,0.6003443973,60.03443973,48.452,103.448,0.4683705823,46.83705823,
514,female,3.7,1X4039,Left,20.231,101.341,0.1996329225,19.96329225,15.902,89.367,0.1779404031,17.79404031,20.034,96.478,0.2076535583,20.76535583,14.811,87.163,0.1699230178,16.99230178,
515,female,4.53,1X4082,Left,3.99,113.281,0.0352221467,3.52221467,2.645,103.663,0.02551537193,2.551537193,3.864,105.232,0.03671886879,3.671886879,2.321,101.839,0.02279087579,2.279087579,
516,female,4.62,1X4069,Left,13.18,90.183,0.1461472783,14.61472783,9.242,85.31,0.1083343102,10.83343102,12.733,86.765,0.1467527229,14.67527229,6.948,82.965,0.08374615802,8.374615802,
517,female,4.47,8291,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
518,male,3.58,1X4096,Left,25.45,140.385,0.1812871746,18.12871746,21.804,130.451,0.1671432185,16.71432185,25.165,130.6,0.1926875957,19.26875957,20.076,122.831,0.1634440817,16.34440817,
525,female,0.71,6776,Left,13.143,89.528,0.1468032347,14.68032347,13.255,86.096,0.1539560491,15.39560491,12.934,86.893,0.1488497347,14.88497347,12.108,91.33,0.1325741815,13.25741815,
526,female,0.47,1X4714,Left,4.917,108.745,0.04521587199,4.521587199,4.777,105.109,0.04544805868,4.544805868,3.876,104.615,0.03705013621,3.705013621,3.854,100.87,0.03820759393,3.820759393,
529,female,0.62,1X2100,Left,7,110.021,0.06362421719,6.362421719,7.984,107.996,0.07392866402,7.392866402,7.272,108.976,0.06673028924,6.673028924,5.568,106.711,0.05217831339,5.217831339,
530,female,3.83,8034,Left,37.357,96.3,0.3879231568,38.79231568,16.176,91.795,0.1762187483,17.62187483,37.567,94.329,0.3982550435,39.82550435,14.561,88.448,0.1646278039,16.46278039,
537,female,4.58,1X4792,Right,7.565,106.824,0.07081741931,7.081741931,5.368,102.452,0.05239526803,5.239526803,7.123,102.248,0.06966395431,6.966395431,4.313,100.627,0.0428612599,4.28612599,
554,female,4.03,6355,Left,10.964,93.038,0.1178443217,11.78443217,7.156,86.174,0.08304128856,8.304128856,10.243,88.908,0.1152089801,11.52089801,4.993,81.549,0.06122699236,6.122699236,
564,female,4.63,9305,Left,4.674,95.83,0.0487738704,4.87738704,3.392,83.166,0.04078589808,4.078589808,3.999,93.251,0.04288425861,4.288425861,2.051,80.59,0.02544980767,2.544980767,
577,female,0.05,1X4178,Right,2.429,89.537,0.02712844969,2.712844969,2.722,87.102,0.03125071755,3.125071755,1.847,86.691,0.02130555652,2.130555652,1.922,84.303,0.02279871416,2.279871416,
580,male,1.05,9356,Right,4.828,116.928,0.04129036672,4.129036672,4.819,106.316,0.04532713797,4.532713797,4.042,97.955,0.04126384564,4.126384564,3.489,92.331,0.03778795854,3.778795854,
603,female,4.24,9092,Left,2.242,87.388,0.02565569643,2.565569643,1.35,82.666,0.01633077686,1.633077686,1.703,84.957,0.02004543475,2.004543475,1.375,78.107,0.01760405597,1.760405597,
617,female,3.98,9494,Left,4.119,114.894,0.03585043605,3.585043605,2.092,104.252,0.02006676131,2.006676131,10.459,112.579,0.09290364988,9.290364988,1.698,103.548,0.01639819214,1.639819214,
619,female,4.89,1X3428,Left,20.456,108.893,0.187854132,18.7854132,13.499,98.891,0.1365038274,13.65038274,18.403,103.288,0.178171714,17.8171714,9.557,94.111,0.101550297,10.1550297,
621,male,4.56,9097,Left,15.16,132.877,0.1140904746,11.40904746,10.158,122.14,0.0831668577,8.31668577,14.046,127.815,0.109893205,10.9893205,7.962,117.504,0.06775939542,6.775939542,
,,,,NOTE: exclude individuals with yellow NA cells. Do not measure them.,,,,,,,,,,,,,,,,,
